Date,Open,High,Low,Close,Adj_Close,Volume
2020-02-14,9728900391,9746360352,9693049805,9731179688,9731179688,2222240000
2020-02-18,9679040039,9747679688,9675799805,9732740234,9732740234,2273460000
2020-02-19,9782809570,9838370117,9777099609,9817179688,9817179688,2462530000
2020-02-20,9799200195,9820860352,9636940430,9750969727,9750969727,2735610000
2020-02-21,9708009766,9715950195,9542330078,9576589844,9576589844,2743010000
2020-02-24,9188440430,9322879883,9166009766,9221280273,9221280273,3177000000
2020-02-25,9301200195,9315259766,8940490234,8965610352,8965610352,3583400000
2020-02-26,9011549805,9148320313,8927799805,8980780273,8980780273,3567830000
2020-02-27,8744030273,8904110352,8562049805,8566480469,8566480469,4536080000
2020-02-28,8269740234,8591820313,8264160156,8567370117,8567370117,5301170000
2020-03-02,8667139648,8952809570,8543349609,8952169922,8952169922,4232760000
2020-03-03,8965099609,9070320313,8602889648,8684089844,8684089844,4336700000
2020-03-04,8834099609,9019959961,8757660156,9018089844,9018089844,3602870000
2020-03-05,8790089844,8921080078,8677389648,8738589844,8738589844,3748090000
2020-03-06,8469019531,8612360352,8375129883,8575620117,8575620117,4279850000
2020-03-09,7957930176,8243309570,7943160156,7950680176,7950680176,4530350000
2020-03-10,8219759766,8347400391,7930430176,8344250000,8344250000,4431930000
2020-03-11,8136250000,8181359863,7850950195,7952049805,7952049805,4273890000
2020-03-12,7398580078,7712330078,7194669922,7201799805,7201799805,5066530000
2020-03-13,7610390137,7875930176,7219089844,7874879883,7874879883,4685890000
2020-03-16,7392729980,7422200195,6882859863,6904589844,6904589844,4594360000
2020-03-17,7072000000,7406229980,6828910156,7334779785,7334779785,4900000000
2020-03-18,6902319824,7182830078,6686359863,6989839844,6989839844,4890820000
2020-03-19,6996450195,7341379883,6858379883,7150580078,7150580078,4762170000
2020-03-20,7248069824,7354439941,6854669922,6879520020,6879520020,5239940000
2020-03-23,6847279785,6984939941,6631419922,6860669922,6860669922,4330610000
2020-03-24,7196149902,7418370117,7169859863,7417859863,7417859863,4417380000
2020-03-25,7421359863,7671209961,7276399902,7384299805,7384299805,4666440000
2020-03-26,7462209961,7809830078,7462209961,7797540039,7797540039,3999850000
2020-03-27,7554250000,7716240234,7491140137,7502379883,7502379883,3977010000
2020-03-30,7583459961,7784350098,7539970215,7774149902,7774149902,3846900000
2020-03-31,7740060059,7880310059,7642859863,7700100098,7700100098,4059700000
2020-04-01,7459500000,7566370117,7301979980,7360580078,7360580078,3685510000
2020-04-02,7317450195,7501700195,7307950195,7487310059,7487310059,3608190000
2020-04-03,7477270020,7518720215,7288109863,7373080078,7373080078,3279100000
2020-04-06,7660169922,7938330078,7617790039,7913240234,7913240234,3849100000
2020-04-07,8129990234,8146430176,7881220215,7887259766,7887259766,4069410000
2020-04-08,7975720215,8114430176,7901939941,8090899902,8090899902,3470730000
2020-04-09,8169009766,8227910156,8072319824,8153580078,8153580078,4123670000
2020-04-13,8127689941,8200440430,8035950195,8192419922,8192419922,3146860000
2020-04-14,8353209961,8531110352,8338080078,8515740234,8515740234,3732820000
2020-04-15,8355959961,8464660156,8308790039,8393179688,8393179688,3333750000
2020-04-16,8479110352,8560160156,8393269531,8532360352,8532360352,3995870000
2020-04-17,8667480469,8670299805,8531690430,8650139648,8650139648,4335020000
2020-04-20,8553379883,8684910156,8553379883,8560730469,8560730469,3796950000
2020-04-21,8460690430,8480290039,8215690430,8263230469,8263230469,3756290000
2020-04-22,8434549805,8537309570,8404540039,8495379883,8495379883,3025060000
2020-04-23,8528839844,8635230469,8475200195,8494750000,8494750000,3734720000
2020-04-24,8530080078,8642929688,8464419922,8634519531,8634519531,3673170000
2020-04-27,8717980469,8754570313,8697370117,8730160156,8730160156,3678460000
2020-04-28,8825690430,8830570313,8600700195,8607730469,8607730469,3707540000
2020-04-29,8802700195,8957269531,8765009766,8914709961,8914709961,4378540000
2020-04-30,8911019531,8926110352,8825830078,8889549805,8889549805,4316380000
2020-05-01,8681290039,8754459961,8566839844,8604950195,8604950195,3722520000
2020-05-04,8555320313,8715820313,8537830078,8710709961,8710709961,3422150000
2020-05-05,8809660156,8909959961,8781309570,8809120117,8809120117,3913360000
2020-05-06,8874700195,8933250000,8819370117,8854389648,8854389648,3620030000
2020-05-07,8973780273,9015990234,8932860352,8979660156,8979660156,3762070000
2020-05-08,9056889648,9125980469,9018209961,9121320313,9121320313,3777340000
2020-05-11,9054910156,9241919922,9053169922,9192339844,9192339844,3898690000
2020-05-12,9225150391,9250959961,9000070313,9002549805,9002549805,4315070000
2020-05-13,9006049805,9074160156,8752679688,8863169922,8863169922,4244110000
2020-05-14,8788040039,8945709961,8705250000,8943719727,8943719727,3945080000
2020-05-15,8839990234,9018400391,8821379883,9014559570,9014559570,4221500000
2020-05-18,9177150391,9267219727,9154349609,9234830078,9234830078,4318310000
2020-05-19,9227459961,9317250000,9183250000,9185099609,9185099609,4144770000
2020-05-20,9305620117,9392820313,9304200195,9375780273,9375780273,4292470000
2020-05-21,9375190430,9405250000,9254849609,9284879883,9284879883,3725950000
2020-05-22,9278549805,9328280273,9239410156,9324589844,9324589844,3641830000
2020-05-26,9501209961,9501209961,9333160156,9340219727,9340219727,4432310000
2020-05-27,9346120117,9414620117,9144280273,9412360352,9412360352,4462450000
2020-05-28,9392990234,9523639648,9345280273,9368990234,9368990234,4064220000
2020-05-29,9382349609,9505549805,9324730469,9489870117,9489870117,4710060000
2020-06-01,9471419922,9571280273,9462320313,9552049805,9552049805,3824770000
2020-06-02,9566530273,9611219727,9472080078,9608379883,9608379883,3962460000
2020-06-03,9651860352,9707780273,9627169922,9682910156,9682910156,4638380000
2020-06-04,9649650391,9716139648,9560410156,9615809570,9615809570,6074320000
2020-06-05,9703540039,9845690430,9685349609,9814080078,9814080078,6572850000
2020-06-08,9823440430,9927129883,9780610352,9924750000,9924750000,6143120000
2020-06-09,9867190430,10002500000,9863269531,9953750000,9953750000,5281860000
2020-06-10,10012320313,10086889648,9962580078,10020349609,10020349609,5128400000
2020-06-11,9791240234,9868080078,9491309570,9492730469,9492730469,5271000000
2020-06-12,9715870117,9768639648,9413620117,9588809570,9588809570,4366190000
2020-06-15,9426900391,9756070313,9403000000,9726019531,9726019531,4440650000
2020-06-16,9949780273,9963629883,9748379883,9895870117,9895870117,4639860000
2020-06-17,9943309570,9991209961,9891809570,9910530273,9910530273,4249680000
2020-06-18,9892480469,9959200195,9885660156,9943049805,9943049805,4294740000
2020-06-19,10042129883,10053910156,9872940430,9946120117,9946120117,6068130000
2020-06-22,9945490234,10059610352,9916599609,10056480469,10056480469,4468000000
2020-06-23,10130830078,10221849609,10112440430,10131370117,10131370117,5712450000
2020-06-24,10092919922,10137500000,9842219727,9909169922,9909169922,5549440000
2020-06-25,9899360352,10023280273,9810469727,10017000000,10017000000,4709620000
2020-06-26,9995120117,10000669922,9749070313,9757219727,9757219727,7279230000
2020-06-29,9771719727,9877339844,9663610352,9874150391,9874150391,4306120000
2020-06-30,9875290039,10085589844,9863669922,10058769531,10058769531,4474000000
2020-07-01,10063669922,10197190430,10048040039,10154629883,10154629883,4595970000
2020-07-02,10268669922,10310360352,10194059570,10207629883,10207629883,4017530000
2020-07-06,10360379883,10462049805,10354980469,10433650391,10433650391,4529480000
2020-07-07,10412459961,10518980469,10337980469,10343889648,10343889648,4314110000
2020-07-08,10409349609,10494629883,10350959961,10492500000,10492500000,3999180000
2020-07-09,10563719727,10578099609,10379910156,10547750000,10547750000,3992920000
2020-07-10,10545910156,10622349609,10447009766,10617440430,10617440430,3509810000
2020-07-13,10729919922,10824780273,10368040039,10390839844,10390839844,4822050000
2020-07-14,10310250000,10497830078,10182459961,10488580078,10488580078,4419480000
2020-07-15,10576719727,10604669922,10420540039,10550490234,10550490234,4610540000
2020-07-16,10443870117,10499790039,10364389648,10473830078,10473830078,4237290000
2020-07-17,10500519531,10532620117,10421209961,10503190430,10503190430,4334280000
2020-07-20,10526019531,10783799805,10488040039,10767089844,10767089844,4274340000
2020-07-21,10837879883,10839929688,10650459961,10680360352,10680360352,5311750000
2020-07-22,10687580078,10745320313,10627450195,10706129883,10706129883,4074020000
2020-07-23,10689500000,10728120117,10407870117,10461419922,10461419922,4469470000
2020-07-24,10294410156,10418750000,10217309570,10363179688,10363179688,4205330000
2020-07-27,10421700195,10546440430,10399860352,10536269531,10536269531,4209900000
2020-07-28,10509200195,10523639648,10397870117,10402089844,10402089844,3869230000
2020-07-29,10474700195,10567910156,10464000000,10542940430,10542940430,3970900000
2020-07-30,10450120117,10609589844,10412089844,10587809570,10587809570,4135200000
2020-07-31,10741469727,10747799805,10557700195,10745269531,10745269531,4418390000
2020-08-03,10848639648,10927559570,10831150391,10902799805,10902799805,4173600000
2020-08-04,10897889648,10941910156,10852900391,10941169922,10941169922,3973570000
2020-08-05,10967870117,11002110352,10943719727,10998400391,10998400391,4119550000
2020-08-06,10989980469,11121190430,10963410156,11108070313,11108070313,4086290000
2020-08-07,11072530273,11126040039,10920370117,11010980469,11010980469,4230720000
2020-08-10,11033730469,11040240234,10849459961,10968360352,10968360352,4018530000
2020-08-11,10942660156,10989419922,10762709961,10782820313,10782820313,4303980000
2020-08-12,10878120117,11036719727,10877160156,11012240234,11012240234,3716840000
2020-08-13,11026860352,11124849609,11007500000,11042500000,11042500000,3444140000
2020-08-14,11042240234,11058440430,10972059570,11019299805,11019299805,3491320000
2020-08-17,11083250000,11144530273,11080299805,11129730469,11129730469,3193160000
2020-08-18,11170750000,11230620117,11103830078,11210839844,11210839844,3199470000
2020-08-19,11214799805,11257419922,11132099609,11146459961,11146459961,3467890000
2020-08-20,11096400391,11283620117,11090030273,11264950195,11264950195,4170980000
2020-08-21,11258440430,11326209961,11245440430,11311799805,11311799805,3905670000
2020-08-24,11449250000,11462049805,11297530273,11379719727,11379719727,3885880000
2020-08-25,11370230469,11468259766,11343040039,11466469727,11466469727,3454500000
2020-08-26,11516620117,11672049805,11507459961,11665059570,11665059570,3441550000
2020-08-27,11688190430,11730009766,11551009766,11625339844,11625339844,3535800000
2020-08-28,11689280273,11708769531,11634769531,11695629883,11695629883,2997810000
2020-08-31,11718809570,11829839844,11697419922,11775459961,11775459961,3596980000
2020-09-01,11850959961,11945719727,11794780273,11939669922,11939669922,3480780000
2020-09-02,12047259766,12074059570,11836179688,12056440430,12056440430,3966140000
2020-09-03,11861900391,11894400391,11361360352,11458099609,11458099609,4437500000
2020-09-04,11396240234,11531179688,10875870117,11313129883,11313129883,4269190000
2020-09-08,10900700195,11131500000,10837200195,10847690430,10847690430,3872230000
2020-09-09,11064759766,11217690430,10970450195,11141559570,11141559570,3531780000
2020-09-10,11235530273,11299530273,10875019531,10919589844,10919589844,3814100000
2020-09-11,11010070313,11033040039,10728030273,10853549805,10853549805,3609190000
2020-09-14,11010139648,11118290039,10982259766,11056650391,11056650391,3716820000
2020-09-15,11193959961,11244459961,11127980469,11190320313,11190320313,3772820000
2020-09-16,11222080078,11245419922,11046429688,11050469727,11050469727,3661710000
2020-09-17,10796049805,10974450195,10783809570,10910280273,10910280273,3726750000
2020-09-18,10973450195,10977679688,10639950195,10793280273,10793280273,5745690000
2020-09-21,10610139648,10782740234,10519490234,10778799805,10778799805,3885200000
2020-09-22,10873299805,10979650391,10737519531,10963639648,10963639648,3492020000
2020-09-23,10950820313,10962030273,10612910156,10632990234,10632990234,4074600000
2020-09-24,10551019531,10799549805,10520219727,10672269531,10672269531,4080730000
2020-09-25,10680459961,10939549805,10639980469,10913559570,10913559570,3767230000
2020-09-28,11084379883,11120790039,11019139648,11117530273,11117530273,3562900000
2020-09-29,11109000000,11153230469,11065629883,11085250000,11085250000,3363870000
2020-09-30,11092900391,11277959961,11092900391,11167509766,11167509766,4228200000
2020-10-01,11291990234,11344129883,11240530273,11326509766,11326509766,3978100000
2020-10-02,11082530273,11244870117,11033690430,11075019531,11075019531,3715090000
2020-10-05,11169110352,11335209961,11162519531,11332490234,11332490234,3597940000
2020-10-06,11314530273,11392410156,11124450195,11154599609,11154599609,4360550000
2020-10-07,11271679688,11380559570,11258349609,11364599609,11364599609,3891460000
2020-10-08,11443349609,11448230469,11384330078,11420980469,11420980469,3486530000
2020-10-09,11487599609,11581230469,11476660156,11579940430,11579940430,3475620000
2020-10-12,11732330078,11965540039,11704129883,11876259766,11876259766,3862990000
2020-10-13,11901759766,11946980469,11821830078,11863900391,11863900391,3607730000
2020-10-14,11889070313,11939919922,11714349609,11768730469,11768730469,3393010000
2020-10-15,11559879883,11740679688,11559099609,11713870117,11713870117,3304490000
2020-10-16,11761830078,11827419922,11648530273,11671559570,11671559570,3156270000
2020-10-19,11732339844,11778110352,11454570313,11478879883,11478879883,3455430000
2020-10-20,11531830078,11632889648,11471230469,11516490234,11516490234,3483200000
2020-10-21,11530389648,11613790039,11476080078,11484690430,11484690430,3445520000
2020-10-22,11526969727,11548769531,11369290039,11506009766,11506009766,3414590000
2020-10-23,11536009766,11548849609,11434860352,11548280273,11548280273,3134240000
2020-10-26,11440639648,11545629883,11221059570,11358940430,11358940430,3186950000
2020-10-27,11409339844,11465059570,11361860352,11431349609,11431349609,3079530000
2020-10-28,11230900391,11249950195,10999070313,11004870117,11004870117,3912580000
2020-10-29,11064469727,11287629883,11030190430,11185589844,11185589844,3222460000
2020-10-30,11103469727,11129809570,10822570313,10911589844,10911589844,3662840000
2020-11-02,11010450195,11071080078,10830950195,10957610352,10957610352,3196720000
2020-11-03,11038660156,11213919922,11004839844,11160570313,11160570313,3190710000
2020-11-04,11443769531,11663309570,11394209961,11590780273,11590780273,3606820000
2020-11-05,11816330078,11924280273,11784150391,11890929688,11890929688,3823380000
2020-11-06,11869900391,11920540039,11737129883,11895230469,11895230469,4156030000
2020-11-09,12046660156,12108070313,11703490234,11713780273,11713780273,5823620000
2020-11-10,11622440430,11665870117,11424610352,11553860352,11553860352,4712950000
2020-11-11,11656650391,11793570313,11638900391,11786429688,11786429688,3823270000
2020-11-12,11802500000,11847839844,11666370117,11709589844,11709589844,3862690000
2020-11-13,11794940430,11849790039,11715519531,11829290039,11829290039,3640680000
2020-11-16,11847110352,11937719727,11814889648,11924129883,11924129883,4138920000
2020-11-17,11913349609,11950179688,11852410156,11899339844,11899339844,4122770000
2020-11-18,11896059570,11942490234,11799959961,11801599609,11801599609,4699160000
2020-11-19,11779040039,11912629883,11760980469,11904709961,11904709961,5322580000
2020-11-20,11892700195,11935469727,11852509766,11854969727,11854969727,5319340000
2020-11-23,11916759766,11949330078,11796530273,11880629883,11880629883,5360830000
2020-11-24,11939330078,12049879883,11863450195,12036790039,12036790039,6277790000
2020-11-25,12053889648,12114769531,12020950195,12094400391,12094400391,4425030000
2020-11-27,12159179688,12236230469,12154570313,12205849609,12205849609,3401890000
2020-11-30,12224250000,12244650391,12027160156,12198740234,12198740234,7693430000
2020-12-01,12313360352,12405790039,12263929688,12355110352,12355110352,6467180000
2020-12-02,12285750000,12360059570,12217349609,12349370117,12349370117,5150820000
2020-12-03,12369259766,12439019531,12356990234,12377179688,12377179688,5182100000
2020-12-04,12399320313,12464230469,12376440430,12464230469,12464230469,5044210000
2020-12-07,12461000000,12536230469,12460549805,12519950195,12519950195,4741690000
2020-12-08,12503169922,12594540039,12453209961,12582769531,12582769531,4758170000
2020-12-09,12591690430,12607139648,12290780273,12338950195,12338950195,5131720000
2020-12-10,12247549805,12431559570,12214740234,12405809570,12405809570,4470060000
